Gene1,Gene2
AR,MTRNR2L2
AR,MTRNR2L8
AR,RGPD2
AR,MTRNR2L10
BCL11A,MTRNR2L2
BCL11A,MTRNR2L8
BCL11A,RGPD2
BCL11A,MTRNR2L10
BCL11A,MTRNR2L6
BCL11A,MTRNR2L1
BCL11A,TRIM38
BCL11A,HESX1
BCL11A,MTRNR2L3
CTBP2,MTRNR2L2
CTBP2,MTRNR2L8
CTBP2,MLLT11
CTBP2,C1QTNF6
CTBP2,EREG
CTBP2,TFAP2A
CTBP2,ZFHX3
CTBP2,CLCN3
CTBP2,VEPH1
CTBP2,EOMES
CTBP2,STEAP2
CTBP2,ETS1
CTBP2,PALLD
CTBP2,WDR35
CTBP2,STX16
CTBP2,SMG7
CTBP2,DNMBP
CTBP2,TJP2
CTBP2,SLC7A5
CTBP2,GAP43
CTBP2,WDHD1
CTBP2,MAP1B
CTBP2,HINT3
CTBP2,SLC25A19
CTBP2,COMMD3-BMI1
CTBP2,COMMD3
CTBP2,LIX1L
CTBP2,CCDC92
CTBP2,IRX3
CTBP2,TBX3
CTBP2,KCNJ5
CTBP2,SEMA5B
CTBP2,MSX1
CTBP2,KIAA0895
CTBP2,FERMT2
CTBP2,ZNF462
CTBP2,NME1
CTBP2,FUT2
CTBP2,WDR36
CTBP2,NFKBIB
CTBP2,WLS
CTBP2,RPS7
CTBP2,ZDHHC21
CTBP2,SMPD1
CTBP2,SYNJ1
CTBP2,TNC
CTBP2,C10orf67
CTBP2,SRSF1
CTBP2,RSPO2
CTBP2,CADPS
CTBP2,C6orf89
CTBP2,BMP4
CTBP2,IFI16
CTBP2,PRDM1
CTBP2,SCNN1A
CTBP2,SALL2
CTBP2,AMOTL1
CTBP2,SSBP1
CTBP2,EFEMP1
CTBP2,MRPL34
CTBP2,DCLK1
CTBP2,COL4A3BP
CTBP2,SLC25A24
CTBP2,ASNS
CTBP2,PARVA
CTBP2,DCAF10
CTBP2,NDUFC2-KCTD14
CTBP2,ARHGAP42
CTBP2,PSMF1
CTBP2,ICA1L
CTBP2,RAB37
CTBP2,SF3A3
CTBP2,SLC19A2
CTBP2,RBPMS
CTBP2,RAD50
CTBP2,LUZP2
