,cell_type,condition,dose_val,R2_mean,R2_mean_DE,R2_var,R2_var_DE,model,num_cells,benchmark,split
23,A549,SAHA,1.0,0.94,0.84,0.69,-0.28,GeneCompass,282,CPA,train
3,A549,SAHA,0.5,0.94,0.76,0.89,0.67,GeneCompass,604,CPA,ood
22,A549,SAHA,0.1,0.93,0.74,0.86,0.53,GeneCompass,297,CPA,train
22,A549,SAHA,0.1,0.92,0.77,0.61,-0.78,GeneCompass,129,CPA,test
18,A549,SAHA,0.001,0.91,0.93,0.78,0.41,GeneCompass,392,CPA,train
19,A549,SAHA,0.005,0.91,0.87,0.71,0.6,GeneCompass,143,CPA,test
19,A549,SAHA,0.005,0.91,0.86,0.76,0.53,GeneCompass,376,CPA,train
23,A549,SAHA,1.0,0.91,0.76,0.84,0.67,GeneCompass,137,CPA,test
20,A549,SAHA,0.01,0.87,0.63,0.76,0.46,GeneCompass,383,CPA,train
20,A549,SAHA,0.01,0.84,0.57,0.76,0.36,GeneCompass,160,CPA,test
21,A549,SAHA,0.05,0.82,0.45,0.59,0.21,GeneCompass,299,CPA,train
21,A549,SAHA,0.05,0.77,0.16,0.65,-0.26,GeneCompass,118,CPA,test
18,A549,SAHA,0.001,0.67,0.82,-0.2,-1.45,GeneCompass,169,CPA,test
14,A549,Nutlin,0.01,0.93,0.94,0.88,0.77,GeneCompass,387,CPA,train
14,A549,Nutlin,0.01,0.89,0.9,0.7,0.66,GeneCompass,180,CPA,test
16,A549,Nutlin,0.1,0.89,0.77,0.76,-0.41,GeneCompass,457,CPA,train
12,A549,Nutlin,0.001,0.88,0.97,0.69,0.81,GeneCompass,284,CPA,train
2,A549,Nutlin,0.5,0.88,0.76,0.8,0.06,GeneCompass,265,CPA,ood
12,A549,Nutlin,0.001,0.84,0.96,0.7,0.65,GeneCompass,135,CPA,test
15,A549,Nutlin,0.05,0.84,0.89,-0.24,0.57,GeneCompass,350,CPA,train
13,A549,Nutlin,0.005,0.81,0.83,0.3,0.64,GeneCompass,252,CPA,train
16,A549,Nutlin,0.1,0.79,0.59,0.6,-1.55,GeneCompass,200,CPA,test
17,A549,Nutlin,1.0,0.72,0.47,0.41,-1.84,GeneCompass,6,CPA,train
13,A549,Nutlin,0.005,0.7,0.73,-0.23,0.27,GeneCompass,107,CPA,test
15,A549,Nutlin,0.05,0.7,0.55,0.21,-4.55,GeneCompass,136,CPA,test
17,A549,Nutlin,1.0,0.37,0.67,0.0,0.0,GeneCompass,1,CPA,test
11,A549,Dex,1.0,0.96,0.85,0.86,-0.34,GeneCompass,568,CPA,train
9,A549,Dex,0.05,0.95,0.8,0.92,0.45,GeneCompass,484,CPA,train
10,A549,Dex,0.1,0.94,0.66,0.9,-0.56,GeneCompass,486,CPA,train
9,A549,Dex,0.05,0.93,0.65,0.86,0.47,GeneCompass,210,CPA,test
8,A549,Dex,0.01,0.91,0.39,0.85,-0.62,GeneCompass,479,CPA,train
1,A549,Dex,0.5,0.9,0.63,0.84,-0.22,GeneCompass,864,CPA,ood
7,A549,Dex,0.005,0.85,0.17,0.74,-1.76,GeneCompass,264,CPA,train
11,A549,Dex,1.0,0.83,0.51,0.67,-0.26,GeneCompass,222,CPA,test
7,A549,Dex,0.005,0.82,0.24,0.6,-1.19,GeneCompass,108,CPA,test
8,A549,Dex,0.01,0.79,0.08,0.61,-1.22,GeneCompass,238,CPA,test
10,A549,Dex,0.1,0.7,-0.09,0.39,-2.83,GeneCompass,218,CPA,test
6,A549,Dex,0.001,0.69,0.64,-0.05,-1.05,GeneCompass,204,CPA,train
6,A549,Dex,0.001,0.48,0.4,-0.21,-1.55,GeneCompass,123,CPA,test
0,A549,BMS,0.001,0.95,0.93,0.87,0.23,GeneCompass,442,CPA,train
0,A549,BMS,0.001,0.9,0.88,0.7,-0.08,GeneCompass,212,CPA,test
1,A549,BMS,0.005,0.88,0.89,0.61,0.21,GeneCompass,391,CPA,train
4,A549,BMS,0.1,0.85,0.8,0.72,0.33,GeneCompass,103,CPA,train
1,A549,BMS,0.005,0.84,0.89,0.3,-0.44,GeneCompass,151,CPA,test
0,A549,BMS,0.5,0.84,0.81,0.68,0.28,GeneCompass,34,CPA,ood
3,A549,BMS,0.05,0.81,0.8,0.48,-1.77,GeneCompass,59,CPA,test
4,A549,BMS,0.1,0.8,0.8,0.61,0.38,GeneCompass,50,CPA,test
3,A549,BMS,0.05,0.8,0.6,0.69,-0.16,GeneCompass,134,CPA,train
2,A549,BMS,0.01,0.76,-0.02,0.45,-1.25,GeneCompass,82,CPA,test
2,A549,BMS,0.01,0.68,-0.16,0.43,-1.45,GeneCompass,262,CPA,train
5,A549,BMS,1.0,0.65,0.14,0.28,-0.08,GeneCompass,13,CPA,train
5,A549,BMS,1.0,0.44,-1.35,0.11,-0.64,GeneCompass,6,CPA,test
