BRD-K70792160,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12
BRD-K68552125,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O
BRD-K92301463,CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
BRD-A29731977,CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O
BRD-K07954936,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12
BRD-K44408410,COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O
BRD-A20131130,CC1OC(CC1O)n1cnc2c(N)ncnc12
BRD-K08703257,NC(=O)c1cccc(N)c1
BRD-A79431551,Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O
BRD-K37846922,C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12
BRD-K97118047,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
BRD-K57631554,NCC(=O)CCC(O)=O
BRD-K24844714,Fc1c[nH]c(=O)[nH]c1=O
BRD-K88573743,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CNC5=CC=CC=C54)N
BRD-K49055432,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1csc(n1)C(C)(C)C
BRD-K41918892,Oc1ccccc1-c1ccc(cc1)-c1csc2[nH]c(=O)c(C#N)c(O)c12
BRD-A95032015,Nc1nc(NC2CC2)c2ncn(C3C[C@H](CO)C=C3)c2n1
BRD-K16133773,CC(=O)O[C@H]1CC[C@]2(C)[C@@H]3CC[C@@]4(C)[C@@H](CC=C4c4cccnc4)[C@H]3CC=C2C1
BRD-A29844814,NC1CCN(C1)c1cccnc1
BRD-K22749967,C[C@@H]1CCCN1CCc1cc2cc(ccc2o1)-c1ccc(cc1)C#N
BRD-K37714784,C(N1CCN(CC1)c1ccccn1)c1nc2ccccc2[nH]1
BRD-K56301217,CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(cc1[N+]([O-])=O)S(=O)(=O)NC(=O)c1ccc(cc1)N1CCN(Cc2ccccc2-c2ccc(Cl)cc2)CC1
BRD-K01621533,C[C@@H]1O[C@H](O[C@@H]2[C@H](CO)O[C@H](O[C@@H]3[C@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@@H]1O
BRD-A29260609,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O
BRD-K07753030,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1
BRD-A65051990,CC(=O)CC(c1ccc(cc1)[N+]([O-])=O)c1c(O)c2ccccc2oc1=O
BRD-K43457670,CC(=O)Nc1nnc(s1)S(N)(=O)=O
BRD-K67174965,CC(=O)N[C@H](CS)C(O)=O
BRD-K72215350,CC(=O)NCCCCCC(O)=O
BRD-A29520968,CC1(OC(=CC1=O)C(O)=O)c1ccccc1
BRD-K63736853,Cc1cnc(c[n+]1[O-])C(O)=O
BRD-K13050541,N[C@H]([C@@H]1CC(Cl)=NO1)C(O)=O
BRD-K74363950,OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1
BRD-K50163129,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1
BRD-K33483813,CC(=O)Nc1ccc(CC(O)=O)cc1
BRD-K82928847,ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1
BRD-K32318651,Nc1nc2n(COCCO)cnc2c(=O)[nH]1
BRD-K33127281,COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O
BRD-K00152668,OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
BRD-K67789209,O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2
BRD-K01577834,Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
BRD-K34870043,Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1
BRD-K40718343,CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1
BRD-K66175015,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
