,cell_type,condition,dose_val,R2_mean,R2_mean_DE,R2_var,R2_var_DE,model,num_cells,benchmark,split
21,A549,SAHA,0.05,0.95,0.9,-0.57,-7.28,GeneCompass-0707,299,CPA,train
22,A549,SAHA,0.1,0.91,0.59,0.84,0.63,GeneCompass-0707,129,CPA,test
3,A549,SAHA,0.5,0.89,0.57,0.71,0.42,GeneCompass-0707,604,CPA,ood
22,A549,SAHA,0.1,0.89,0.47,0.83,0.57,GeneCompass-0707,297,CPA,train
18,A549,SAHA,0.001,0.86,0.84,0.76,0.41,GeneCompass-0707,392,CPA,train
19,A549,SAHA,0.005,0.86,0.64,0.82,-0.05,GeneCompass-0707,376,CPA,train
23,A549,SAHA,1.0,0.8,0.21,0.78,0.26,GeneCompass-0707,282,CPA,train
20,A549,SAHA,0.01,0.78,0.4,0.04,-1.06,GeneCompass-0707,160,CPA,test
19,A549,SAHA,0.005,0.7,0.8,-0.45,-3.28,GeneCompass-0707,143,CPA,test
23,A549,SAHA,1.0,0.67,0.64,0.45,0.4,GeneCompass-0707,137,CPA,test
18,A549,SAHA,0.001,0.66,0.83,-1.18,-2.19,GeneCompass-0707,169,CPA,test
20,A549,SAHA,0.01,0.59,0.05,-0.75,-2.88,GeneCompass-0707,383,CPA,train
21,A549,SAHA,0.05,0.52,-0.8,-0.39,-2.16,GeneCompass-0707,118,CPA,test
12,A549,Nutlin,0.001,0.97,0.97,0.81,0.01,GeneCompass-0707,284,CPA,train
12,A549,Nutlin,0.001,0.97,0.96,0.9,0.79,GeneCompass-0707,135,CPA,test
16,A549,Nutlin,0.1,0.95,0.84,0.89,0.28,GeneCompass-0707,457,CPA,train
15,A549,Nutlin,0.05,0.9,0.93,0.85,0.8,GeneCompass-0707,350,CPA,train
15,A549,Nutlin,0.05,0.9,0.71,0.85,0.05,GeneCompass-0707,136,CPA,test
2,A549,Nutlin,0.5,0.88,0.8,0.78,0.24,GeneCompass-0707,265,CPA,ood
13,A549,Nutlin,0.005,0.87,0.83,0.63,0.56,GeneCompass-0707,107,CPA,test
13,A549,Nutlin,0.005,0.79,0.55,0.26,0.3,GeneCompass-0707,252,CPA,train
14,A549,Nutlin,0.01,0.77,0.61,0.4,-3.39,GeneCompass-0707,387,CPA,train
17,A549,Nutlin,1.0,0.76,0.65,0.47,-0.93,GeneCompass-0707,6,CPA,train
16,A549,Nutlin,0.1,0.68,0.44,0.62,-0.57,GeneCompass-0707,200,CPA,test
14,A549,Nutlin,0.01,0.68,0.43,0.29,-3.85,GeneCompass-0707,180,CPA,test
17,A549,Nutlin,1.0,0.45,0.48,0.0,0.0,GeneCompass-0707,1,CPA,test
11,A549,Dex,1.0,0.98,0.91,0.93,0.21,GeneCompass-0707,568,CPA,train
7,A549,Dex,0.005,0.98,0.85,0.96,0.68,GeneCompass-0707,264,CPA,train
10,A549,Dex,0.1,0.97,0.74,0.91,0.03,GeneCompass-0707,486,CPA,train
10,A549,Dex,0.1,0.95,0.83,0.64,-20.6,GeneCompass-0707,218,CPA,test
6,A549,Dex,0.001,0.9,0.83,0.74,-1.49,GeneCompass-0707,123,CPA,test
11,A549,Dex,1.0,0.9,0.55,0.78,-0.92,GeneCompass-0707,222,CPA,test
1,A549,Dex,0.5,0.86,0.26,0.6,-1.2,GeneCompass-0707,864,CPA,ood
7,A549,Dex,0.005,0.86,0.04,0.81,-2.54,GeneCompass-0707,108,CPA,test
8,A549,Dex,0.01,0.84,0.05,0.7,-1.57,GeneCompass-0707,479,CPA,train
8,A549,Dex,0.01,0.76,-0.08,-0.55,-2.54,GeneCompass-0707,238,CPA,test
9,A549,Dex,0.05,0.74,0.05,0.71,-2.75,GeneCompass-0707,484,CPA,train
6,A549,Dex,0.001,0.72,0.65,-0.06,-1.12,GeneCompass-0707,204,CPA,train
9,A549,Dex,0.05,0.56,-0.91,0.41,-4.55,GeneCompass-0707,210,CPA,test
1,A549,BMS,0.005,0.93,0.91,0.66,0.15,GeneCompass-0707,391,CPA,train
2,A549,BMS,0.01,0.86,0.03,0.69,-0.43,GeneCompass-0707,262,CPA,train
0,A549,BMS,0.001,0.85,0.76,0.24,-1.37,GeneCompass-0707,442,CPA,train
2,A549,BMS,0.01,0.81,-0.11,0.73,-0.71,GeneCompass-0707,82,CPA,test
0,A549,BMS,0.001,0.8,0.84,0.51,-0.18,GeneCompass-0707,212,CPA,test
3,A549,BMS,0.05,0.75,0.46,0.63,-1.2,GeneCompass-0707,134,CPA,train
0,A549,BMS,0.5,0.74,0.57,0.63,0.17,GeneCompass-0707,34,CPA,ood
5,A549,BMS,1.0,0.73,0.37,0.4,-0.04,GeneCompass-0707,13,CPA,train
4,A549,BMS,0.1,0.66,0.65,0.37,-0.28,GeneCompass-0707,103,CPA,train
4,A549,BMS,0.1,0.64,0.62,0.19,-0.43,GeneCompass-0707,50,CPA,test
3,A549,BMS,0.05,0.62,0.51,0.32,-1.63,GeneCompass-0707,59,CPA,test
1,A549,BMS,0.005,0.54,0.79,-0.15,-1.32,GeneCompass-0707,151,CPA,test
5,A549,BMS,1.0,0.48,-1.73,0.14,-0.91,GeneCompass-0707,6,CPA,test
