,cell_type,condition,dose_val,R2_mean,R2_mean_DE,R2_var,R2_var_DE,model,num_cells,benchmark,split
18,A549,SAHA,0.001,0.97,0.96,0.9,0.46,geneformer,169,CPA,test
18,A549,SAHA,0.001,0.96,0.94,0.9,0.53,geneformer,392,CPA,train
19,A549,SAHA,0.005,0.92,0.83,0.85,0.5,geneformer,143,CPA,test
23,A549,SAHA,1.0,0.91,0.59,0.89,0.55,geneformer,282,CPA,train
19,A549,SAHA,0.005,0.9,0.73,0.85,0.22,geneformer,376,CPA,train
3,A549,SAHA,0.5,0.89,0.52,0.87,0.14,geneformer,604,CPA,ood
23,A549,SAHA,1.0,0.87,0.43,0.82,0.35,geneformer,137,CPA,test
20,A549,SAHA,0.01,0.85,0.57,0.75,-0.04,geneformer,160,CPA,test
21,A549,SAHA,0.05,0.84,0.38,0.72,-0.1,geneformer,118,CPA,test
21,A549,SAHA,0.05,0.83,0.31,0.73,-0.03,geneformer,299,CPA,train
22,A549,SAHA,0.1,0.83,0.25,0.75,-0.1,geneformer,297,CPA,train
20,A549,SAHA,0.01,0.81,0.44,0.65,-0.36,geneformer,383,CPA,train
22,A549,SAHA,0.1,0.77,0.06,0.67,-0.1,geneformer,129,CPA,test
12,A549,Nutlin,0.001,0.97,0.97,0.88,0.79,geneformer,135,CPA,test
14,A549,Nutlin,0.01,0.97,0.97,0.87,0.64,geneformer,180,CPA,test
14,A549,Nutlin,0.01,0.97,0.96,0.92,0.65,geneformer,387,CPA,train
12,A549,Nutlin,0.001,0.96,0.98,0.91,0.86,geneformer,284,CPA,train
13,A549,Nutlin,0.005,0.96,0.94,0.9,0.78,geneformer,252,CPA,train
13,A549,Nutlin,0.005,0.95,0.91,0.88,0.67,geneformer,107,CPA,test
16,A549,Nutlin,0.1,0.95,0.87,0.93,0.63,geneformer,457,CPA,train
15,A549,Nutlin,0.05,0.94,0.84,0.9,0.64,geneformer,136,CPA,test
15,A549,Nutlin,0.05,0.93,0.87,0.88,0.7,geneformer,350,CPA,train
2,A549,Nutlin,0.5,0.89,0.76,0.82,-0.05,geneformer,265,CPA,ood
16,A549,Nutlin,0.1,0.89,0.68,0.86,0.12,geneformer,200,CPA,test
17,A549,Nutlin,1.0,0.76,0.66,0.47,-0.49,geneformer,6,CPA,train
17,A549,Nutlin,1.0,0.25,0.61,0.0,0.0,geneformer,1,CPA,test
11,A549,Dex,1.0,0.95,0.78,0.88,-0.03,geneformer,568,CPA,train
11,A549,Dex,1.0,0.95,0.74,0.9,-0.02,geneformer,222,CPA,test
1,A549,Dex,0.5,0.94,0.7,0.88,-0.94,geneformer,864,CPA,ood
9,A549,Dex,0.05,0.94,0.6,0.92,-0.47,geneformer,484,CPA,train
6,A549,Dex,0.001,0.92,0.81,0.85,-0.42,geneformer,123,CPA,test
10,A549,Dex,0.1,0.92,0.63,0.88,-0.84,geneformer,486,CPA,train
7,A549,Dex,0.005,0.92,0.5,0.88,-0.32,geneformer,108,CPA,test
7,A549,Dex,0.005,0.92,0.42,0.86,-1.38,geneformer,264,CPA,train
8,A549,Dex,0.01,0.92,0.4,0.86,-0.84,geneformer,479,CPA,train
6,A549,Dex,0.001,0.91,0.79,0.85,-0.35,geneformer,204,CPA,train
9,A549,Dex,0.05,0.91,0.5,0.83,-1.35,geneformer,210,CPA,test
8,A549,Dex,0.01,0.9,0.32,0.8,-1.49,geneformer,238,CPA,test
10,A549,Dex,0.1,0.87,0.31,0.79,-2.3,geneformer,218,CPA,test
1,A549,BMS,0.005,0.95,0.93,0.89,0.22,geneformer,391,CPA,train
0,A549,BMS,0.001,0.94,0.92,0.86,0.09,geneformer,442,CPA,train
0,A549,BMS,0.001,0.94,0.92,0.84,-0.01,geneformer,212,CPA,test
1,A549,BMS,0.005,0.93,0.91,0.8,-0.19,geneformer,151,CPA,test
0,A549,BMS,0.5,0.91,0.87,0.75,0.44,geneformer,34,CPA,ood
4,A549,BMS,0.1,0.85,0.68,0.79,0.36,geneformer,103,CPA,train
2,A549,BMS,0.01,0.84,-0.27,0.72,-1.38,geneformer,262,CPA,train
3,A549,BMS,0.05,0.81,0.6,0.6,-1.7,geneformer,59,CPA,test
2,A549,BMS,0.01,0.81,-0.49,0.68,-1.53,geneformer,82,CPA,test
3,A549,BMS,0.05,0.8,0.57,0.64,-1.29,geneformer,134,CPA,train
4,A549,BMS,0.1,0.79,0.64,0.63,0.04,geneformer,50,CPA,test
5,A549,BMS,1.0,0.76,0.39,0.46,-0.02,geneformer,13,CPA,train
5,A549,BMS,1.0,0.53,-1.03,0.18,-0.61,geneformer,6,CPA,test
