,cell_type,condition,dose_val,R2_mean,R2_mean_DE,R2_var,R2_var_DE,model,num_cells,benchmark,split
23,A549,SAHA,1.0,0.94,0.77,0.89,0.82,scgpt_cnic,282,CPA,train
3,A549,SAHA,0.5,0.93,0.76,0.83,0.38,scgpt_cnic,604,CPA,ood
18,A549,SAHA,0.001,0.92,0.93,0.79,0.43,scgpt_cnic,392,CPA,train
22,A549,SAHA,0.1,0.92,0.64,0.89,0.72,scgpt_cnic,297,CPA,train
19,A549,SAHA,0.005,0.91,0.81,0.81,0.51,scgpt_cnic,376,CPA,train
20,A549,SAHA,0.01,0.9,0.77,0.75,0.65,scgpt_cnic,160,CPA,test
23,A549,SAHA,1.0,0.9,0.69,0.81,0.65,scgpt_cnic,137,CPA,test
18,A549,SAHA,0.001,0.89,0.93,0.71,0.3,scgpt_cnic,169,CPA,test
21,A549,SAHA,0.05,0.88,0.51,0.82,0.5,scgpt_cnic,299,CPA,train
19,A549,SAHA,0.005,0.87,0.8,0.69,0.49,scgpt_cnic,143,CPA,test
22,A549,SAHA,0.1,0.87,0.5,0.8,0.72,scgpt_cnic,129,CPA,test
20,A549,SAHA,0.01,0.86,0.6,0.75,0.32,scgpt_cnic,383,CPA,train
21,A549,SAHA,0.05,0.85,0.49,0.79,0.52,scgpt_cnic,118,CPA,test
12,A549,Nutlin,0.001,0.94,0.97,0.85,0.78,scgpt_cnic,284,CPA,train
13,A549,Nutlin,0.005,0.94,0.92,0.85,0.74,scgpt_cnic,252,CPA,train
14,A549,Nutlin,0.01,0.93,0.94,0.83,0.75,scgpt_cnic,387,CPA,train
16,A549,Nutlin,0.1,0.93,0.86,0.83,0.36,scgpt_cnic,457,CPA,train
15,A549,Nutlin,0.05,0.92,0.89,0.78,0.59,scgpt_cnic,350,CPA,train
14,A549,Nutlin,0.01,0.9,0.93,0.74,0.69,scgpt_cnic,180,CPA,test
15,A549,Nutlin,0.05,0.88,0.84,0.66,0.13,scgpt_cnic,136,CPA,test
12,A549,Nutlin,0.001,0.86,0.96,0.67,0.73,scgpt_cnic,135,CPA,test
2,A549,Nutlin,0.5,0.85,0.76,0.69,0.03,scgpt_cnic,265,CPA,ood
13,A549,Nutlin,0.005,0.83,0.84,0.55,0.52,scgpt_cnic,107,CPA,test
16,A549,Nutlin,0.1,0.79,0.74,0.23,-0.22,scgpt_cnic,200,CPA,test
17,A549,Nutlin,1.0,0.74,0.62,0.45,-0.83,scgpt_cnic,6,CPA,train
17,A549,Nutlin,1.0,0.36,0.5,0.0,0.0,scgpt_cnic,1,CPA,test
11,A549,Dex,1.0,0.96,0.9,0.88,0.31,scgpt_cnic,568,CPA,train
10,A549,Dex,0.1,0.92,0.73,0.86,0.3,scgpt_cnic,486,CPA,train
6,A549,Dex,0.001,0.89,0.78,0.8,-0.04,scgpt_cnic,204,CPA,train
8,A549,Dex,0.01,0.89,0.34,0.81,-0.63,scgpt_cnic,479,CPA,train
9,A549,Dex,0.05,0.88,0.53,0.76,-0.28,scgpt_cnic,484,CPA,train
6,A549,Dex,0.001,0.86,0.77,0.75,-0.22,scgpt_cnic,123,CPA,test
9,A549,Dex,0.05,0.85,0.34,0.72,-0.74,scgpt_cnic,210,CPA,test
7,A549,Dex,0.005,0.85,0.19,0.77,-1.55,scgpt_cnic,264,CPA,train
7,A549,Dex,0.005,0.83,0.22,0.69,-1.04,scgpt_cnic,108,CPA,test
8,A549,Dex,0.01,0.83,0.14,0.72,-1.22,scgpt_cnic,238,CPA,test
1,A549,Dex,0.5,0.8,0.4,0.51,-0.73,scgpt_cnic,864,CPA,ood
11,A549,Dex,1.0,0.79,0.33,0.59,-0.44,scgpt_cnic,222,CPA,test
10,A549,Dex,0.1,0.75,0.21,0.49,-1.42,scgpt_cnic,218,CPA,test
0,A549,BMS,0.001,0.93,0.93,0.81,0.19,scgpt_cnic,442,CPA,train
1,A549,BMS,0.005,0.92,0.91,0.71,0.12,scgpt_cnic,391,CPA,train
0,A549,BMS,0.001,0.9,0.91,0.73,0.12,scgpt_cnic,212,CPA,test
1,A549,BMS,0.005,0.87,0.9,0.49,-0.36,scgpt_cnic,151,CPA,test
0,A549,BMS,0.5,0.86,0.8,0.69,0.16,scgpt_cnic,34,CPA,ood
4,A549,BMS,0.1,0.84,0.75,0.76,0.53,scgpt_cnic,103,CPA,train
3,A549,BMS,0.05,0.84,0.7,0.7,-0.38,scgpt_cnic,134,CPA,train
2,A549,BMS,0.01,0.83,-0.12,0.66,-1.12,scgpt_cnic,262,CPA,train
3,A549,BMS,0.05,0.81,0.75,0.6,-0.61,scgpt_cnic,59,CPA,test
4,A549,BMS,0.1,0.8,0.78,0.67,0.47,scgpt_cnic,50,CPA,test
2,A549,BMS,0.01,0.79,-0.17,0.61,-1.08,scgpt_cnic,82,CPA,test
5,A549,BMS,1.0,0.67,0.07,0.38,-0.11,scgpt_cnic,13,CPA,train
5,A549,BMS,1.0,0.44,-1.55,0.12,-0.7,scgpt_cnic,6,CPA,test
