Gene1,Gene2
NRIP1,FKBP4
NR3C1,FKBP4
GATA3,FKBP4
TLE3,FKBP4
PGR,FKBP4
AR,FKBP4
MIF,CD74
ILF2,LRRC7
SIRT1,GABARAPL2
POLR1B,MRI1
MCM6,MRI1
SRC,ARHGEF5
NFE2L3,MAFF
MAFF,NFE2L3
NFE2L3,MAFG
MAFG,NFE2L3
NFE2L3,HCFC1
HCFC1,NFE2L3
GATA6,LMCD1
APC,PSMC4
WWP1,PSMC4
HIF3A,PSMC4
NFKBIA,PSMC4
NFKBIB,PSMC4
VHL,PSMC4
REL,PSMC4
CTNNB1,PSMC4
TP53,PSMC4
PSMD9,PSMC4
CCND1,PSMC4
LIMD1,PSMC4
HIF1A,PSMC4
RUNX1,ACTL6B
SMARCD3,ACTL6B
ARID4B,ACTL6B
DPF2,ACTL6B
RUVBL2,ACTL6B
SMARCC1,ACTL6B
CCND1,ACTL6B
SMARCD1,ACTL6B
RUVBL1,ACTL6B
DNMT3A,ACTL6B
MCM5,KIF22
MCM2,KIF22
TRIP13,TOP2A
TRIP13,NDC80
TRIP13,DTL
TRIP13,KIAA0101
TRIP13,CDCA8
TRIP13,RAD51
RAD51,TRIP13
TRIP13,NCAPG
TRIP13,DLGAP5
TRIP13,CDC20
TRIP13,NUSAP1
TRIP13,CCNA2
TRIP13,EXO1
TRIP13,CHEK1
TRIP13,RFC4
TRIP13,CCNB2
TRIP13,MCM10
TRIP13,BUB1B
TRIP13,CENPM
TRIP13,ZWILCH
TRIP13,CDC7
TRIP13,CDKN3
TRIP13,CCNB1
TRIP13,TYMS
TRIP13,OIP5
TRIP13,AURKB
TRIP13,RRM2
TRIP13,NCAPH
TRIP13,TTK
TRIP13,MAD2L1
TRIP13,FEN1
TRIP13,KIF23
TRIP13,MCM2
MCM2,TRIP13
TRIP13,RAD51AP1
TRIP13,UBE2C
TRIP13,PLK1
TRIP13,CEP55
TRIP13,KIF11
TRIP13,KIF2C
TRIP13,ZWINT
TRIP13,GINS2
TRIP13,VRK1
TRIP13,BIRC5
TRIP13,RAD54L
TRIP13,MCM4
MCM4,TRIP13
TRIP13,RFC3
ASB9,KEAP1
WWP1,KEAP1
SMAD2,KEAP1
VHL,KEAP1
ASB4,KEAP1
RNF14,KEAP1
RNF19A,KEAP1
SRC,NTN1
UBTF,RRN3
POLR1B,RRN3
POLR1A,RRN3
GTF2H2,RRN3
POLR2H,RRN3
POLR2F,RRN3
POLR2K,RRN3
POLR1C,RRN3
TGFB1,PPP1R15A
BMP4,PPP1R15A
ATF6,PPP1R15A
BMPR1A,PPP1R15A
BMP2,PPP1R15A
TRIP6,NR3C1
NR3C1,TRIP6
TRIP6,SRC
SRC,TRIP6
TRIP6,TTLL12
TRIP6,PTK2
TRIP6,SVIL
TRIP6,NEDD9
TRIP6,OIP5
TRIP6,TTC1
TRIP6,UBE2C
TRIP6,SRXN1
TRIP6,UBA2
TRIP6,EXOSC8
TRIP6,VCL
TFAP4,SNRNP200
SRC,EFNB1
STAT3,EFNB1
MCM5,CDC6
MCM6,CDC6
MYBL2,CDC6
E2F7,CDC6
RAD51,CDC6
RBBP4,CDC6
E2F4,CDC6
KAT7,CDC6
MCM7,CDC6
TFDP1,CDC6
PSMD9,CDC6
MCM2,CDC6
ESPL1,CDC6
MCM3,CDC6
MCM4,CDC6
UHRF1,CDC6
HIST1H1B,CBX5
TFDP1,CBX5
EHMT2,CBX5
RBBP4,CBX5
CHAF1A,CBX5
DNMT1,CBX5
PHF21A,CBX5
HDAC9,CBX5
DNMT3B,CBX5
TRIM28,CBX5
TGFB1I1,VCL
SRC,VCL
FXR1,VCL
CTNNB1,VCL
ILF2,VCL
SIRT1,HMGB1
SIRT1,DNAJB1
SIRT1,XRCC5
XRCC5,SIRT1
SIRT1,H2AFZ
SIRT1,NMNAT1
SIRT1,NOS3
SIRT1,MMP2
SIRT1,MFN2
SIRT1,MEF2D
MEF2D,SIRT1
SIRT1,BAHD1
SIRT1,RBBP4
RBBP4,SIRT1
SIRT1,BAZ2A
SIRT1,CHEK1
SIRT1,DNMT3B
DNMT3B,SIRT1
SIRT1,CTNNB1
CTNNB1,SIRT1
SIRT1,HSPA2
SIRT1,APEX1
APEX1,SIRT1
SIRT1,MCM10
SIRT1,MYCN
MYCN,SIRT1
SIRT1,POLR2G
POLR2G,SIRT1
SIRT1,SETD7
SIRT1,H2AFX
SIRT1,XRCC6
XRCC6,SIRT1
SIRT1,TP53
TP53,SIRT1
SIRT1,IGF1
SIRT1,HIST1H2BH
SIRT1,CDH1
SIRT1,PARP1
PARP1,SIRT1
SIRT1,PPARA
PPARA,SIRT1
SIRT1,HSPA8
SIRT1,GATAD2A
GATAD2A,SIRT1
SIRT1,EHMT2
EHMT2,SIRT1
SIRT1,HIST1H4I
SIRT1,SOD2
SIRT1,CHEK2
SIRT1,ADIPOQ
SIRT1,GAPDH
SIRT1,STAT3
STAT3,SIRT1
SIRT1,DNMT1
DNMT1,SIRT1
SIRT1,BDNF
SIRT1,CDK6
SIRT1,TFAM
SIRT1,HDAC9
HDAC9,SIRT1
SIRT1,AR
AR,SIRT1
SIRT1,HSPA1B
SIRT1,ZEB1
ZEB1,SIRT1
SIRT1,EZH2
EZH2,SIRT1
SIRT1,HIF1A
HIF1A,SIRT1
SIRT1,PRMT1
SIRT1,HCFC1
HCFC1,SIRT1
TGFB1,TGFBR3
TP53,GADD45B
MIF,GOT2
MIF,TAT
MIF,AKR1C2
MIF,TP53
TP53,MIF
MIF,GAPDH
MIF,COX17
U2AF1,SF3A1
YBX1,SF3A1
POLR2G,SF3A1
SRSF3,SF3A1
RNPS1,SF3A1
HNRNPK,SF3A1
HNRNPD,SF3A1
KHSRP,SF3A1
POLR2D,SF3A1
ALYREF,SF3A1
SF1,SF3A1
ELAVL2,SF3A1
POLR2H,SF3A1
SNRPB,SF3A1
POLR2I,SF3A1
SRSF2,SF3A1
POLR2F,SF3A1
POLR2K,SF3A1
FUS,SF3A1
SNRPD1,SF3A1
RBMX,SF3A1
SRSF6,SF3A1
SRSF1,SF3A1
POLR2A,SF3A1
STAT2,USP18
YBX1,SNRPD3
POLR2G,SNRPD3
SRSF3,SNRPD3
SSB,SNRPD3
RNPS1,SNRPD3
HNRNPK,SNRPD3
HNRNPD,SNRPD3
POLR2D,SNRPD3
ALYREF,SNRPD3
SF1,SNRPD3
SMG6,SNRPD3
ELAVL2,SNRPD3
POLR2H,SNRPD3
SRSF10,SNRPD3
RUVBL1,SNRPD3
SNRPB,SNRPD3
POLR2I,SNRPD3
SRSF2,SNRPD3
POLR2F,SNRPD3
POLR2K,SNRPD3
ILF3,SNRPD3
FUS,SNRPD3
RBM14,SNRPD3
SNRPD1,SNRPD3
RBMX,SNRPD3
SRSF6,SNRPD3
SRSF1,SNRPD3
POLR2A,SNRPD3
BMP4,LGALS1
RUVBL1,CENPM
CENPK,CENPM
RBBP4,CENPM
ESPL1,CENPM
NPM1,CENPM
MCM4,CENPM
MCM2,CENPM
TP53,HMOX1
TLR4,HMOX1
STAT3,HMOX1
HIF1A,HMOX1
MCM5,CCNE2
MCM5,ORC4
MCM5,UNG
MCM5,MCM6
MCM6,MCM5
MCM5,TOP2A
MCM5,NDC80
MCM5,DBF4
MCM5,CDCA7
MCM5,DTL
MCM5,DNAJC9
MCM5,WDHD1
MCM5,CDCA8
MCM5,RAD51
RAD51,MCM5
MCM5,NCAPG
MCM5,POLE4
MCM5,RPA1
MCM5,TK1
MCM5,CDC20
MCM5,MSH2
