,VGAMpValue,Variance
HAPLN1,7.19429716169768e-313,29.4106709953963
CER1,2.84568481778121e-304,31.4448537208756
LHX1,5.32645530424757e-262,16.0151585255283
RHOBTB3,6.5749179679086e-257,16.4702272793538
CYP26A1,3.42483302620801e-244,18.4328356729623
COL5A2,1.22816664124001e-226,17.6207289089166
ESRP1,2.70027696527657e-216,11.1573261434053
SOX2,4.7815742111912e-210,5.3275822186163
ERBB4,1.49280291010538e-205,23.9471548016693
VIM,5.57608927649043e-204,12.2331731877087
NANOG,1.89888839728502e-202,10.3402514643129
GATA6,3.90456535084917e-187,11.825209469875
GRHL2,1.54190822012067e-183,5.13135740524283
APOBEC3G,1.65526006868851e-183,13.1089923096232
EOMES,1.06238113465457e-180,9.31938011778656
COL5A1,3.41073836452025e-172,9.32387337078963
CLDN7,2.92367258955765e-170,7.56747891997193
ITGA5,1.4228084491373e-169,10.8193442870527
GRPR,1.86336789652808e-164,9.85413307141494
CRABP1,8.92983814038308e-164,6.05329987833437
PTPRZ1,1.84147695935991e-163,11.4128175047062
APOL6,2.37729182893554e-163,5.67137842597206
SFRP2,8.6122452107484e-163,11.8383005425764
SERHL2,1.36073713549716e-161,16.4787402284368
CDH2,9.5876266257465e-158,6.95620452875229
VSNL1,6.96141209621256e-157,7.57581941574064
POLR3G,7.54922936858285e-156,14.3093840436706
ST8SIA4,3.58195882313088e-155,14.1446461104862
GYPB,3.15987104051697e-154,14.9464475713325
LEPREL1,7.02276923219704e-153,11.617336151191
AP1M2,5.44344551358414e-152,6.80030535979296
SERPINE2,3.07023947818191e-151,9.1219563334283
DLC1,3.26811780009232e-151,12.0378408164045
PRTG,7.71481450696022e-151,11.7302649906609
ARL4D,2.57922326000066e-150,10.268672795576
LZTS1,7.73473872494579e-150,7.47088690592507
LECT1,1.07237704254863e-149,8.97845759916291
NRP1,3.43800511222195e-148,13.4883765171187
SCNN1A,7.53749403408991e-148,4.46110326817174
LIFR,1.05079708177356e-147,14.135272458156
MYCT1,9.78590354808988e-147,16.7139300771469
NRP2,7.03328681884138e-146,9.48059328996829
